approved,sex,age,months_in_current_job
False,M,34,79
False,F,31,46
True,M,49,116
True,M,35,14
True,M,43,24
True,M,38,35
False,M,27,74
True,F,50,50
False,M,40,14
False,M,36,67
True,M,42,20
False,F,24,12
False,F,41,85
True,M,35,18
False,M,25,33
True,M,27,77
False,M,44,67
True,M,37,111
False,M,44,116
False,M,31,51
True,M,34,109
True,M,46,26
False,M,45,28
False,M,28,110
True,M,32,27
True,M,45,34
True,M,34,7
True,M,29,15
False,M,35,105
False,M,26,35
True,M,36,29
False,M,42,17
False,M,45,1
True,F,40,48
True,F,41,76
True,F,45,3
True,M,26,89
True,M,33,88
False,M,34,93
False,M,40,74
False,M,26,6
False,M,28,94
True,M,38,107
False,F,35,73
False,M,27,38
False,M,37,12
False,M,46,30
False,M,42,70
False,M,48,62
False,M,37,55
False,F,50,112
False,M,49,41
True,F,39,60
False,F,26,41
False,M,22,55
True,F,37,35
False,M,46,83
True,M,29,67
True,M,26,117
False,M,36,6
True,M,33,53
False,M,50,0
True,F,43,43
False,M,22,119
True,M,31,44
False,M,47,105
True,M,32,46
True,F,21,12
False,M,22,118
False,F,24,21
True,M,30,117
True,M,27,20
False,M,45,85
True,F,42,91
True,M,42,8
True,M,31,25
False,M,26,8
True,M,34,14
False,M,43,9
True,M,36,87
False,F,23,120
False,M,48,41
True,M,41,71
False,M,44,23
True,M,32,79
True,M,37,48
True,M,20,25
False,M,35,90
True,F,32,36
False,M,29,67
False,M,31,49
True,M,49,23
False,M,21,18
False,M,42,99
True,M,22,59
False,M,29,38
False,M,21,73
True,M,49,88
False,M,46,17
True,M,42,18
True,M,32,35
True,M,32,73
True,M,37,96
False,M,22,54
False,F,46,113
True,M,26,68
True,M,33,46
True,M,39,48
False,M,48,98
False,M,49,107
False,M,36,97
True,M,48,32
False,F,49,118
True,F,40,20
True,M,31,80
False,F,44,21
True,F,35,47
False,M,43,36
True,F,31,14
True,M,34,34
True,F,44,91
True,F,29,70
False,M,49,31
False,M,44,10
True,M,50,9
False,M,26,72
False,F,39,77
False,F,24,76
True,M,20,56
False,M,49,24
True,M,36,1
True,M,22,63
False,M,32,34
False,M,33,6
False,F,43,84
True,M,49,17
False,M,37,66
False,M,23,41
False,M,37,117
True,F,49,38
False,F,24,40
True,M,44,112
True,M,35,74
False,M,20,102
True,M,40,23
False,M,33,59
True,M,34,45
True,M,28,18
True,M,34,67
False,M,36,89
False,F,44,101
False,M,43,41
False,M,23,31
False,M,31,38
False,F,46,108
False,M,45,109
False,M,24,35
True,M,48,103
False,M,24,100
False,M,30,96
False,M,47,35
False,M,25,2
True,M,26,72
False,M,43,7
True,M,50,96
True,F,33,69
True,M,43,40
True,M,30,102
True,M,49,67
True,M,32,12
True,M,21,48
True,M,44,59
True,M,26,1
True,M,39,59
True,M,23,4
False,M,46,43
False,M,27,26
False,M,39,31
False,F,48,20
False,M,50,7
False,M,41,101
True,M,40,71
False,F,38,49
True,F,32,66
False,M,33,117
False,M,29,43
True,F,30,57
True,M,21,2
False,M,44,85
True,M,45,69
True,M,28,1
False,F,36,86
False,F,45,43
True,M,22,1
True,M,43,101
True,M,25,80
True,M,24,34
False,F,24,97
False,F,41,86
False,M,34,29
True,M,42,115
True,M,36,7
True,M,28,21
False,F,22,43
False,M,39,57
False,M,45,35
True,M,36,68
True,M,48,76
False,M,46,92
True,M,29,30
False,M,22,46
True,M,37,120
False,M,37,54
True,M,49,79
False,M,36,105
True,M,43,61
False,M,22,29
False,M,22,120
False,M,25,54
False,F,32,15
False,M,43,11
True,M,48,16
False,M,34,15
True,M,44,11
True,M,28,7
True,M,23,83
False,F,33,2
False,M,24,15
True,F,21,29
True,M,30,108
False,M,28,22
False,M,43,91
False,M,22,114
True,M,46,103
False,M,47,117
False,M,48,4
True,M,28,83
False,M,22,103
False,M,44,119
True,M,21,107
True,F,31,64
False,F,29,120
False,F,28,29
False,M,34,20
False,M,27,83
True,F,44,69
False,M,24,21
False,F,30,81
False,F,46,71
True,F,21,102
True,M,43,31
True,M,47,32
False,F,34,116
True,M,25,15
True,M,27,75
False,M,46,37
False,F,24,115
False,M,35,97
False,M,45,13
False,M,37,35
False,M,25,96
False,F,24,22
True,M,47,113
False,M,35,108
True,F,32,65
True,M,47,104
True,M,24,84
True,M,32,1
False,M,36,90
True,M,37,120
False,F,27,72
False,F,32,64
True,F,49,74
False,F,48,66
False,M,38,51
True,M,45,61
True,M,22,22
True,M,43,25
False,M,27,67
True,M,21,81
False,F,27,54
True,M,46,5
True,M,32,34
True,M,32,21
True,M,20,42
False,M,25,14
True,M,43,85
True,M,38,59
False,M,35,100
True,M,27,115
False,M,47,105
True,M,20,11
True,F,46,110
True,M,46,48
False,M,35,41
True,M,28,37
True,M,32,81
True,M,30,44
False,M,32,34
False,M,44,29
True,M,40,87
False,M,29,105
True,M,23,29
True,M,50,77
True,M,46,5
True,F,25,66
True,M,47,79
False,M,26,6
False,M,24,51
False,M,30,13
False,M,32,72
True,M,45,14
True,M,44,20
True,F,38,34
True,F,50,65
True,M,42,90
True,M,29,1
True,M,29,34
True,M,30,81
False,M,40,77
False,M,49,19
False,M,26,81
True,M,50,9
True,M,37,24
False,F,23,65
False,M,21,24
True,M,33,53
False,M,32,32
False,M,48,35
True,M,31,94
False,M,26,13
False,M,21,64
True,M,32,109
True,M,33,79
True,M,46,53
False,M,36,109
False,F,28,51
False,M,36,2
True,M,27,98
True,M,50,40
False,M,21,5
True,M,47,24
False,M,43,12
False,M,32,116
False,M,22,97
False,M,35,7
True,M,25,20
True,M,38,97
False,M,49,67
True,M,26,24
False,M,29,78
True,F,28,67
True,M,21,44
False,M,50,59
True,M,47,11
False,M,47,31
False,M,34,95
False,M,49,91
True,F,24,12
True,M,48,30
False,M,41,77
True,M,23,19
True,M,39,17
True,M,23,92
True,F,37,59
True,M,23,62
False,F,46,5
False,F,36,31
True,M,31,92
False,M,41,42
True,M,36,1
True,M,29,59
False,M,41,22
False,M,20,82
False,M,41,30
True,M,45,114
False,F,43,4
