statement,score,tag,is_spam,date
I love this!,0.6,POSITIVE,FALSE,2023-01-14
The product is okay.,-0.08,NEUTRAL,FALSE,2023-02-04
It works as expected.,-0.1,NEUTRAL,FALSE,2023-02-15
This is awful.,-0.89,NEGATIVE,FALSE,2023-03-09
This is the best purchase I've made.,0.97,POSITIVE,FALSE,2023-03-17
The product is okay.,-0.01,NEUTRAL,FALSE,2023-04-13
I would not recommend this to anyone.,-0.72,NEGATIVE,FALSE,2023-04-21
"It’s fine, neither good nor bad.",-0.15,NEUTRAL,FALSE,2023-05-19
Great service!,0.86,POSITIVE,FALSE,2023-05-22
Highly recommend this product!,0.75,POSITIVE,FALSE,2023-06-04
Anyone interested?,,,TRUE,2023-06-14
Highly recommend this product!,0.5,POSITIVE,FALSE,2023-06-19
"It’s fine, neither good nor bad.",0.07,NEUTRAL,FALSE,2023-07-17
This is awful.,-0.8,NEGATIVE,FALSE,2023-07-30
Great service!,0.72,POSITIVE,FALSE,2023-08-11
"It’s fine, neither good nor bad.",0.08,NEUTRAL,FALSE,2023-08-14
Just checking in,,,TRUE,2023-08-27
This product is amazing!,0.87,POSITIVE,FALSE,2023-09-11
I hate this product.,-0.52,NEGATIVE,FALSE,2023-09-21
Nothing special about it.,-0.11,NEUTRAL,FALSE,2023-09-25
Nothing special about it.,0.05,NEUTRAL,FALSE,2023-10-01
This is the best purchase I've made.,0.87,POSITIVE,FALSE,2023-10-08
This product is amazing!,0.76,POSITIVE,FALSE,2023-10-17
I hate this product.,-0.52,NEGATIVE,FALSE,2023-10-24
Great service!,0.93,POSITIVE,FALSE,2023-11-10
Bump to top,,,TRUE,2023-11-16
I love this!,0.73,POSITIVE,FALSE,2023-11-21
This product is amazing!,0.8,POSITIVE,FALSE,2023-12-02
Terrible experience.,-0.59,NEGATIVE,FALSE,2023-12-15
I hate this product.,-0.88,NEGATIVE,FALSE,2023-12-30
"It’s fine, neither good nor bad.",-0.06,NEUTRAL,FALSE,2024-01-02
Anyone interested?,,,TRUE,2024-01-11
This is the best purchase I've made.,0.54,POSITIVE,FALSE,2024-01-19
It works as expected.,0.15,NEUTRAL,FALSE,2024-01-22
I would not recommend this to anyone.,-0.79,NEGATIVE,FALSE,2024-02-10
I haven’t decided yet.,-0.07,NEUTRAL,FALSE,2024-02-23
I love this!,0.92,POSITIVE,FALSE,2024-02-28
Great service!,0.65,POSITIVE,FALSE,2024-03-01
BUMP,,,TRUE,2024-03-04
Very disappointed with this.,-0.95,NEGATIVE,FALSE,2024-03-18
This is the best purchase I've made.,0.64,POSITIVE,FALSE,2024-03-26
I would not recommend this to anyone.,-0.98,NEGATIVE,FALSE,2024-04-03
I haven’t decided yet.,0.2,NEUTRAL,FALSE,2024-04-12
Great service!,0.68,POSITIVE,FALSE,2024-04-15
I hate this product.,-0.8,NEGATIVE,FALSE,2024-04-28
Anyone interested?,,,TRUE,2024-05-06
Bump to top,,,TRUE,2024-05-17
UP,,,TRUE,2024-05-23
BUMP,,,TRUE,2024-06-03
This product is amazing!,0.59,POSITIVE,FALSE,2024-06-13
Anyone interested?,,,TRUE,2024-06-21
"It’s fine, neither good nor bad.",-0.05,NEUTRAL,FALSE,2024-06-30
Very disappointed with this.,-0.99,NEGATIVE,FALSE,2024-07-01
This is the best purchase I've made.,0.59,POSITIVE,FALSE,2024-07-04
This product is amazing!,0.79,POSITIVE,FALSE,2024-07-23
It works as expected.,-0.03,NEUTRAL,FALSE,2024-07-29
Terrible experience.,-0.81,NEGATIVE,FALSE,2024-08-01
Just checking in,,,TRUE,2024-08-19
Terrible experience.,-0.61,NEGATIVE,FALSE,2024-08-25
I would not recommend this to anyone.,-0.73,NEGATIVE,FALSE,2024-09-15
This is awful.,-0.83,NEGATIVE,FALSE,2024-09-28
It works as expected.,0.07,NEUTRAL,FALSE,2024-10-07
Nothing special about it.,0.13,NEUTRAL,FALSE,2024-10-12
The product is okay.,0.15,NEUTRAL,FALSE,2024-10-15
Terrible experience.,-0.52,NEGATIVE,FALSE,2024-10-19
Great service!,0.63,POSITIVE,FALSE,2024-11-03
UP,,,TRUE,2024-11-09
Great service!,0.81,POSITIVE,FALSE,2024-11-25
Terrible experience.,-0.72,NEGATIVE,FALSE,2024-12-08
I hate this product.,-0.57,NEGATIVE,FALSE,2024-12-12
Nothing special about it.,-0.03,NEUTRAL,FALSE,2024-12-25
